Product_ID,Product_Name,Category,Price,Brand
101,Jacket,Outerwear,99.93,TechCorp
102,Belt Pro,Accessories,95.56,UrbanStyle
103,Book,Media,23.3,StyleBrand
104,Jeans Lite,Clothing,53.91,TechCorp
105,Camera Lite,Electronics,120.21,QualityPlus
106,Book Mini,Media,8.9,ModernTech
107,Dress,Clothing,18.78,TechCorp
108,Socks,Accessories,87.96,ModernTech
109,Hat,Accessories,64.1,UrbanStyle
110,Watch Pro,Accessories,73.73,StyleBrand
111,Sunglasses,Accessories,11.85,ElegantLife
112,Jeans,Clothing,78.04,ClassicBrand
113,Laptop,Electronics,424.6,StyleBrand
114,Jewelry,Accessories,29.11,ElegantLife
115,Sneakers,Footwear,51.82,TechCorp
116,Boots,Footwear,52.01,StyleBrand
117,Jacket Plus,Outerwear,88.68,ModernTech
118,Socks,Accessories,57.23,ElegantLife
119,Dress,Clothing,43.08,StyleBrand
120,Socks,Accessories,36.21,TrendyFashion
121,Socks,Accessories,65.07,ClassicBrand
122,Book,Media,8.49,UrbanStyle
123,Jeans,Clothing,33.99,UrbanStyle
124,Watch Lite,Accessories,42.97,ModernTech
125,Perfume Max,Beauty,35.52,ElegantLife
126,Laptop Lite,Electronics,403.33,ClassicBrand
127,Belt,Accessories,27.97,TrendyFashion
128,Perfume,Beauty,38.14,ModernTech
129,Laptop Lite,Electronics,316.59,ElegantLife
130,Camera Pro,Electronics,70.9,ClassicBrand
131,Jacket,Outerwear,137.21,ComfortWear
132,Phone Max,Electronics,126.74,QualityPlus
133,Jewelry,Accessories,15.85,ClassicBrand
134,Book,Media,28.72,TechCorp
135,Jacket,Outerwear,194.5,TrendyFashion
136,Watch Lite,Accessories,82.76,StyleBrand
137,Headphones,Electronics,187.08,TechCorp
138,Dress,Clothing,21.35,TrendyFashion
139,Camera,Electronics,357.9,StyleBrand
140,Boots,Footwear,82.82,TrendyFashion
141,Hat,Accessories,20.98,ElegantLife
142,Book,Media,17.38,TrendyFashion
143,Jewelry,Accessories,13.09,ElegantLife
144,Jacket,Outerwear,185.49,ElegantLife
145,Boots Mini,Footwear,61.05,UrbanStyle
146,Sneakers,Footwear,109.5,StyleBrand
147,Sneakers,Footwear,67.41,TrendyFashion
148,Hat,Accessories,56.81,ClassicBrand
149,Socks,Accessories,59.2,SportMax
150,Jewelry,Accessories,26.64,ModernTech
151,Book,Media,29.24,UrbanStyle
152,Laptop,Electronics,398.81,ElegantLife
153,Camera Lite,Electronics,472.77,ClassicBrand
154,Sneakers Mini,Footwear,137.38,ElegantLife
155,Belt Pro,Accessories,63.81,QualityPlus
156,Jeans Pro,Clothing,74.92,UrbanStyle
157,Watch,Accessories,17.96,StyleBrand
158,Dress Lite,Clothing,27.74,ClassicBrand
159,Perfume,Beauty,17.04,QualityPlus
160,Tablet Pro,Electronics,196.4,ModernTech
161,Phone,Electronics,224.9,ElegantLife
162,Headphones,Electronics,172.11,TechCorp
163,Jacket,Outerwear,172.6,TechCorp
164,Watch Lite,Accessories,42.11,StyleBrand
165,Book Lite,Media,12.02,ClassicBrand
166,Dress Pro,Clothing,50.28,ClassicBrand
167,Headphones Mini,Electronics,113.42,TrendyFashion
168,T-shirt,Clothing,67.14,StyleBrand
169,Belt,Accessories,16.71,ComfortWear
170,Tablet,Electronics,494.1,UrbanStyle
171,Jeans,Clothing,65.2,ComfortWear
172,Laptop,Electronics,139.42,SportMax
173,Headphones,Electronics,52.48,SportMax
174,Book Plus,Media,25.39,ClassicBrand
175,Backpack,Bags,92.15,TechCorp
176,Book,Media,23.23,TechCorp
177,Jeans,Clothing,65.13,TechCorp
178,Camera Mini,Electronics,83.32,TrendyFashion
179,Sneakers Pro,Footwear,73.02,ComfortWear
180,Belt Mini,Accessories,20.43,ModernTech
181,Belt,Accessories,87.68,QualityPlus
182,Jewelry,Accessories,66.1,StyleBrand
183,Perfume,Beauty,29.89,QualityPlus
184,Dress,Clothing,19.13,UrbanStyle
185,Watch Lite,Accessories,37.99,UrbanStyle
186,Boots,Footwear,69.02,ClassicBrand
187,Sneakers,Footwear,117.55,TechCorp
188,Perfume Lite,Beauty,43.69,StyleBrand
189,Camera Plus,Electronics,449.25,SportMax
190,Sneakers,Footwear,86.67,UrbanStyle
191,Socks,Accessories,20.76,ClassicBrand
192,Boots,Footwear,115.59,QualityPlus
193,Camera,Electronics,392.35,TechCorp
194,Book,Media,19.03,SportMax
195,Jacket Pro,Outerwear,163.35,ComfortWear
196,Book Mini,Media,17.34,ComfortWear
197,Backpack Plus,Bags,74.66,ElegantLife
198,Camera Pro,Electronics,242.39,ClassicBrand
199,Sneakers,Footwear,33.05,ModernTech
200,Jeans,Clothing,22.01,TechCorp
201,Hat Max,Accessories,12.83,SportMax
202,Book,Media,20.91,ModernTech
203,Jacket,Outerwear,90.3,StyleBrand
204,Hat Plus,Accessories,55.77,TrendyFashion
205,Perfume Lite,Beauty,55.84,TrendyFashion
206,Jeans,Clothing,31.2,SportMax
207,Jeans Lite,Clothing,41.67,ElegantLife
208,Jacket,Outerwear,160.89,ElegantLife
209,Phone,Electronics,152.96,QualityPlus
210,Belt,Accessories,16.93,ComfortWear
211,Socks Plus,Accessories,36.08,ModernTech
212,Phone Pro,Electronics,122.55,UrbanStyle
213,Laptop,Electronics,468.36,TechCorp
214,Belt,Accessories,82.73,UrbanStyle
215,Headphones,Electronics,335.03,ElegantLife
216,Belt Lite,Accessories,88.43,UrbanStyle
217,Laptop Pro,Electronics,411.65,ElegantLife
218,Dress,Clothing,27.13,ElegantLife
219,Laptop,Electronics,451.65,TrendyFashion
220,T-shirt,Clothing,50.06,StyleBrand
221,Dress,Clothing,67.48,ComfortWear
222,Dress Max,Clothing,73.25,TechCorp
223,Sunglasses,Accessories,38.62,ElegantLife
224,Camera,Electronics,99.52,StyleBrand
225,Perfume Max,Beauty,25.26,UrbanStyle
226,T-shirt,Clothing,42.76,TrendyFashion
227,Book,Media,25.45,UrbanStyle
228,Sneakers,Footwear,133.29,ElegantLife
229,Jacket,Outerwear,41.11,SportMax
230,Phone,Electronics,279.84,ElegantLife
231,Boots Max,Footwear,80.09,TrendyFashion
232,Laptop,Electronics,149.95,ComfortWear
233,Boots,Footwear,44.38,ModernTech
234,T-shirt Max,Clothing,36.94,SportMax
235,Perfume,Beauty,57.43,QualityPlus
236,Headphones,Electronics,195.44,ClassicBrand
237,Backpack,Bags,74.29,TrendyFashion
238,Socks Mini,Accessories,73.27,StyleBrand
239,Watch,Accessories,42.73,StyleBrand
240,Belt Lite,Accessories,97.46,SportMax
241,Hat Max,Accessories,96.62,TechCorp
242,Jewelry,Accessories,32.66,StyleBrand
243,Perfume,Beauty,37.38,UrbanStyle
244,Laptop,Electronics,185.4,ClassicBrand
245,Hat,Accessories,35.64,TechCorp
246,Jacket Mini,Outerwear,45.9,ModernTech
247,Headphones,Electronics,324.3,TechCorp
248,Jacket Max,Outerwear,120.43,ClassicBrand
249,Camera,Electronics,73.17,TrendyFashion
250,Headphones,Electronics,175.39,QualityPlus
251,Camera,Electronics,458.72,ModernTech
252,Book,Media,10.99,ClassicBrand
253,Tablet Lite,Electronics,115.2,ClassicBrand
254,Dress,Clothing,46.81,TrendyFashion
255,Belt,Accessories,98.71,SportMax
256,Boots Plus,Footwear,59.05,UrbanStyle
257,Book Lite,Media,21.8,StyleBrand
258,Laptop,Electronics,392.73,ComfortWear
259,Sneakers,Footwear,58.52,ModernTech
260,Book,Media,23.21,ClassicBrand
261,Backpack,Bags,59.94,ModernTech
262,Perfume,Beauty,43.45,TechCorp
263,Perfume,Beauty,43.51,ModernTech
264,Sunglasses,Accessories,58.22,SportMax
265,Phone,Electronics,90.63,TrendyFashion
266,Book,Media,25.88,QualityPlus
267,Tablet Max,Electronics,194.35,UrbanStyle
268,T-shirt,Clothing,27.12,ModernTech
269,Laptop,Electronics,68.35,ComfortWear
270,Hat,Accessories,63.18,QualityPlus
271,Laptop,Electronics,354.9,QualityPlus
272,T-shirt,Clothing,16.08,StyleBrand
273,Hat Plus,Accessories,56.09,ClassicBrand
274,Laptop Plus,Electronics,151.92,ElegantLife
275,Watch Max,Accessories,68.07,ModernTech
276,Dress,Clothing,26.33,StyleBrand
277,Book,Media,22.27,TechCorp
278,Sunglasses,Accessories,44.81,UrbanStyle
279,Jeans,Clothing,75.89,TechCorp
280,Backpack,Bags,38.06,TechCorp
281,Belt,Accessories,40.7,ComfortWear
282,Jacket,Outerwear,58.16,QualityPlus
283,Headphones,Electronics,466.11,SportMax
284,Socks,Accessories,88.96,QualityPlus
285,Jacket,Outerwear,81.27,ComfortWear
286,Jacket Plus,Outerwear,145.6,QualityPlus
287,Perfume,Beauty,51.77,ModernTech
288,Backpack,Bags,77.74,StyleBrand
289,Belt,Accessories,57.67,StyleBrand
290,Boots,Footwear,59.02,QualityPlus
291,Perfume,Beauty,19.19,TechCorp
292,Phone Plus,Electronics,453.75,ElegantLife
293,T-shirt,Clothing,73.53,ModernTech
294,Jacket,Outerwear,141.3,ModernTech
295,Headphones,Electronics,202.56,ComfortWear
296,Camera,Electronics,207.14,SportMax
297,Book,Media,23.15,ClassicBrand
298,Perfume,Beauty,55.37,SportMax
299,Belt Max,Accessories,89.84,StyleBrand
300,Belt,Accessories,80.19,ClassicBrand
301,Laptop Plus,Electronics,338.91,ElegantLife
302,Socks Plus,Accessories,17.57,ClassicBrand
303,Watch,Accessories,24.55,SportMax
